Game_Date,Year,Game_Stage,HomeTeam_ID,HomeTeam_Abb,HomeTeam_Score,HomeTeam_Name,VisitorTeam_ID,VisitorTeam_Abb,VisitorTeam_Score,VisitorTeam_Name
1991-12-18,1991,Final,27,SAS,93.0,San Antonio Spurs,30,WAS,96,Washington Wizards
1991-12-19,1991,Final,11,HOU,109.0,Houston Rockets,26,SAC,102,Sacramento Kings
1991-12-20,1991,Final,24,PHX,116.0,Phoenix Suns,27,SAS,91,San Antonio Spurs
1991-12-21,1991,Final,17,MIL,110.0,Milwaukee Bucks,23,PHI,97,Philadelphia 76ers
1991-12-22,1991,Final,14,LAL,88.0,Los Angeles Lakers,24,PHX,100,Phoenix Suns
1991-12-23,1991,Final,23,PHI,106.0,Philadelphia 76ers,4,CHA,114,Charlotte Hornets
1991-12-26,1991,Final,25,POR,113.0,Portland Trail Blazers,7,DAL,88,Dallas Mavericks
1991-12-26,1991,Final,26,SAC,106.0,Sacramento Kings,21,OKC,115,Oklahoma City Thunder
1991-12-28,1991,Final,14,LAL,88.0,Los Angeles Lakers,25,POR,98,Portland Trail Blazers
1991-12-30,1991,Final,18,MIN,109.0,Minnesota Timberwolves,26,SAC,117,Sacramento Kings
1992-01-02,1991,Final,21,OKC,113.0,Oklahoma City Thunder,16,MIA,109,Miami Heat
1992-01-04,1991,Final,30,WAS,99.0,Washington Wizards,20,NYK,113,New York Knicks
1992-11-06,1992,Final,13,LAC,112.0,LA Clippers,14,LAL,114,Los Angeles Lakers
1992-11-07,1992,Final,5,CHI,99.0,Chicago Bulls,1,ATL,100,Atlanta Hawks
1992-11-10,1992,Final,16,MIA,110.0,Miami Heat,2,BOS,106,Boston Celtics
1992-11-11,1992,Final,11,HOU,101.0,Houston Rockets,1,ATL,82,Atlanta Hawks
1992-11-12,1992,Final,9,DET,95.0,Detroit Pistons,16,MIA,88,Miami Heat
1992-11-13,1992,Final,12,IND,110.0,Indiana Pacers,4,CHA,109,Charlotte Hornets
1992-11-14,1992,Final,29,UTA,122.0,Utah Jazz,13,LAC,104,LA Clippers
1992-11-17,1992,Final,4,CHA,134.0,Charlotte Hornets,7,DAL,111,Dallas Mavericks
1992-11-18,1992,Final,24,PHX,127.0,Phoenix Suns,26,SAC,111,Sacramento Kings
1992-11-19,1992,Final,8,DEN,99.0,Denver Nuggets,9,DET,87,Detroit Pistons
1992-11-20,1992,Final,14,LAL,120.0,Los Angeles Lakers,5,CHI,118,Chicago Bulls
1992-11-21,1992,Final,8,DEN,131.0,Denver Nuggets,18,MIN,118,Minnesota Timberwolves
1992-11-22,1992,Final,25,POR,115.0,Portland Trail Blazers,9,DET,90,Detroit Pistons
1992-11-23,1992,Final,2,BOS,97.0,Boston Celtics,1,ATL,101,Atlanta Hawks
1993-04-17,1992,Final,20,NYK,95.0,New York Knicks,9,DET,85,Detroit Pistons
1993-04-18,1992,Final,8,DEN,94.0,Denver Nuggets,13,LAC,83,LA Clippers
1993-04-19,1992,Final,21,OKC,96.0,Oklahoma City Thunder,27,SAS,89,San Antonio Spurs
1993-04-20,1992,Final,5,CHI,123.0,Chicago Bulls,23,PHI,94,Philadelphia 76ers
1993-04-21,1992,Final,30,WAS,98.0,Washington Wizards,1,ATL,119,Atlanta Hawks
1993-04-23,1992,Final,26,SAC,108.0,Sacramento Kings,25,POR,112,Portland Trail Blazers
1993-04-24,1992,Final,17,MIL,106.0,Milwaukee Bucks,4,CHA,108,Charlotte Hornets
