id,Player_ID,First_Name,Last_Name,AST,BLK,DREB,FG3_PCT,FG3A,FG3M,FG_PCT,FGA,FGM,FT_PCT,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,Turnover,Player_Position,Players_Team_ID,Players_Team_Name,Home_Team_ID,Home_Team_Score,Visitor_Team_ID,Visitor_Team_Score
1069110,377,Bobby,Portis,4.0,0.0,6.0,0.5,2.0,1.0,0.308,13.0,4.0,0.5,2.0,1.0,27:49,7.0,2.0,10.0,13.0,0.0,1.0,F,5,Chicago Bulls,8,135,5,105
1069111,268,Zach,LaVine,6.0,0.0,3.0,0.0,3.0,0.0,0.267,15.0,4.0,0.0,0.0,0.0,28:48,2.0,4.0,8.0,5.0,0.0,2.0,G,5,Chicago Bulls,8,135,5,105
1069112,139,Kris,Dunn,3.0,0.0,0.0,0.0,0.0,0.0,0.375,8.0,3.0,0.0,0.0,0.0,29:52,1.0,2.0,6.0,1.0,0.0,1.0,G,5,Chicago Bulls,8,135,5,105
1069113,412,Wayne,Selden,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,25:04,0.0,2.0,0.0,0.0,1.0,1.0,G-F,5,Chicago Bulls,8,135,5,105
1069114,19,Ryan,Arcidiacono,4.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12:22,0.0,2.0,0.0,2.0,0.0,0.0,G,5,Chicago Bulls,8,135,5,105
1069115,284,Robin,Lopez,0.0,1.0,3.0,0.0,1.0,0.0,0.8,10.0,8.0,0.5,2.0,1.0,19:01,3.0,1.0,17.0,6.0,0.0,1.0,C,5,Chicago Bulls,8,135,5,105
1069116,362,Jabari,Parker,2.0,1.0,2.0,0.667,3.0,2.0,0.7140000000000001,7.0,5.0,0.75,4.0,3.0,18:15,1.0,1.0,15.0,3.0,0.0,1.0,F,5,Chicago Bulls,8,135,5,105
1069117,50,Antonio,Blakeney,0.0,1.0,0.0,0.667,3.0,2.0,0.5,4.0,2.0,0.0,0.0,0.0,9:08,0.0,0.0,6.0,0.0,0.0,2.0,G,5,Chicago Bulls,8,135,5,105
1069118,154,Cristiano,Felicio,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5:46,0.0,0.0,2.0,0.0,0.0,0.0,F-C,5,Chicago Bulls,8,135,5,105
1069119,199,Shaquille,Harrison,3.0,0.0,0.0,0.0,1.0,0.0,0.5,2.0,1.0,0.0,0.0,0.0,5:46,0.0,2.0,2.0,0.0,1.0,1.0,G,5,Chicago Bulls,8,135,5,105
1069120,110,Torrey,Craig,0.0,1.0,5.0,0.667,6.0,4.0,0.5710000000000001,7.0,4.0,1.0,1.0,1.0,23:28,0.0,2.0,13.0,5.0,0.0,1.0,F,8,Denver Nuggets,8,135,5,105
1069121,318,Paul,Millsap,2.0,0.0,6.0,1.0,2.0,2.0,0.833,6.0,5.0,0.5,4.0,2.0,25:24,2.0,4.0,14.0,8.0,1.0,1.0,F,8,Denver Nuggets,8,135,5,105
1069122,246,Nikola,Jokic,11.0,1.0,4.0,0.0,3.0,0.0,0.33299999999999996,18.0,6.0,1.0,6.0,6.0,25:28,4.0,3.0,18.0,8.0,1.0,2.0,C,8,Denver Nuggets,8,135,5,105
1069123,38,Malik,Beasley,1.0,0.0,7.0,0.667,3.0,2.0,0.7140000000000001,7.0,5.0,1.0,1.0,1.0,33:53,2.0,1.0,13.0,9.0,0.0,1.0,G,8,Denver Nuggets,8,135,5,105
1069124,335,Jamal,Murray,5.0,0.0,1.0,0.636,11.0,7.0,0.5,16.0,8.0,1.0,2.0,2.0,29:04,1.0,2.0,25.0,2.0,0.0,1.0,G,8,Denver Nuggets,8,135,5,105
1069125,371,Mason,Plumlee,4.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,19:42,0.0,2.0,8.0,2.0,1.0,0.0,F-C,8,Denver Nuggets,8,135,5,105
